Year,Month,Index
1709,Jan,1.667802134
1709,Feb,1.854515041
1709,Mar,1.798485856
1709,Apr,1.828752896
1709,May,1.83411057
1709,Jun,1.848749537
1709,Jul,1.76500762
1709,Aug,1.758421023
1709,Sep,1.68348145
1709,Oct,1.755086222
1709,Nov,1.882306697
1709,Dec,1.821896615
1710,Jan,1.813539291
1710,Feb,1.841632461
1710,Mar,1.795937246
1710,Apr,1.693869736
1710,May,1.663914515
1710,Jun,1.645302496
1710,Jul,1.491297564
1710,Aug,1.617198043
1710,Sep,1.541752233
1710,Oct,1.578248864
1710,Nov,1.580740794
1710,Dec,1.579668277
1711,Jan,1.548975721
1711,Feb,1.561789679
1711,Mar,1.620688299
1711,Apr,1.556047929
1711,May,1.489194994
1711,Jun,1.635300986
1711,Jul,1.666680992
1711,Aug,1.718729518
1711,Sep,1.657320274
1711,Oct,1.656275045
1711,Nov,1.652137579
1711,Dec,1.594806754
1712,Jan,1.641626047
1712,Feb,1.713693358
1712,Mar,1.64867708
1712,Apr,1.634245311
1712,May,1.670681847
1712,Jun,1.656915804
1712,Jul,1.69430714
1712,Aug,1.708172477
1712,Sep,1.831245224
1712,Oct,1.791003411
1712,Nov,1.778429916
1712,Dec,1.831424102
1713,Jan,1.841723284
1713,Feb,1.861431939
1713,Mar,1.896228992
1713,Apr,1.887422448
1713,May,1.920582952
1713,Jun,1.871923919
1713,Jul,1.853928359
1713,Aug,1.889764912
1713,Sep,1.857351505
1713,Oct,1.78636569
1713,Nov,1.773656289
1713,Dec,1.750388139
1714,Jan,1.811991322
1714,Feb,1.817151023
1714,Mar,1.819630004
1714,Apr,1.810669322
1714,May,1.996732834
1714,Jun,1.977627717
1714,Jul,1.965639768
1714,Aug,1.988558392
1714,Sep,1.980970283
1714,Oct,1.987338313
1714,Nov,1.979354549
1714,Dec,1.970318416
1715,Jan,2.034845329
1715,Feb,2.058080735
1715,Mar,2.023446999
1715,Apr,1.944646857
1715,May,2.007598338
1715,Jun,1.934134487
1715,Jul,1.85115298
1715,Aug,1.938380112
1715,Sep,1.948274703
1715,Oct,1.912234554
1715,Nov,1.986685763
1715,Dec,2.003569039
1716,Jan,2.062933504
